3.766419255751529249e+01,3.789485048328728567e+01,3.815580380252547599e+01,3.844501671704495038e+01,3.876036566235271152e+01
4.329127878844856525e+01,4.353173619882283418e+01,4.380430192823767754e+01,4.410703578958256088e+01,4.443788572273458470e+01
4.954645986976277783e+01,4.979298712740656896e+01,5.007297185655384197e+01,5.038462589178902817e+01,5.072601380203463606e+01
5.654079603271125620e+01,5.678888183339399376e+01,5.707118016089844303e+01,5.738610993012004968e+01,5.773191948660296191e+01
6.441724091688185183e+01,6.466140846212435633e+01,6.493979108076923978e+01,6.525103128305647715e+01,6.559364431866062262e+01
7.336235292950729558e+01,7.359590589162588969e+01,7.386270703817308458e+01,7.416166250105929691e+01,7.449156456217041011e+01
8.361904566164007235e+01,8.383369319805765940e+01,8.407938316287393832e+01,8.435529750879594246e+01,8.466053293650134037e+01
9.550786831922522424e+01,9.569320048545424129e+01,9.590575833949399964e+01,9.614500483618544990e+01,9.641034078866287871e+01
1.094561343202375241e+02,1.095988626460533482e+02,1.097628847856528154e+02,1.099479196210911169e+02,1.101536575204671351e+02
1.260394646096574576e+02,1.261222980724259060e+02,1.262176812149627807e+02,1.263255327987161536e+02,1.264457588649013218e+02
1.460376401647262981e+02,1.460376401647262981e+02,1.460376401647262981e+02,1.460376401647262981e+02,1.460376401647262981e+02
