2.901640257273665480e-01,2.919410087917378993e-01,2.939513868324046264e-01,2.961794761095387640e-01,2.986089167338040751e-01
2.896661285194366275e-01,2.912750522815942267e-01,2.930988159082704714e-01,2.951244374200774345e-01,2.973381862844938217e-01
2.891656750710110968e-01,2.906044705180996779e-01,2.922385322336341629e-01,2.940574240318428734e-01,2.960498502472928006e-01
2.886626515231027756e-01,2.899292255732608403e-01,2.913704678170174756e-01,2.929783062028525897e-01,2.947437978566778138e-01
2.881570298649274164e-01,2.892492622180217188e-01,2.904945485328801480e-01,2.918868163634966706e-01,2.934194239903908930e-01
2.876487946709918031e-01,2.885645399458169891e-01,2.896106490897655261e-01,2.907828331204789230e-01,2.920763566573980619e-01
2.871379266343241365e-01,2.878750009225611306e-01,2.887186712435269031e-01,2.896661285194361835e-01,2.907142709271038905e-01
2.866244080226341140e-01,2.871806001287692256e-01,2.878184980334850263e-01,2.885364900344841166e-01,2.893327779387619980e-01
2.861082102846108643e-01,2.864812889257458695e-01,2.869100276264070493e-01,2.873936915702904882e-01,2.879314714082479298e-01
2.855893184174689292e-01,2.857770084576278791e-01,2.859931344682388188e-01,2.862375123731256688e-01,2.865099292736906778e-01
2.850677148954695594e-01,2.850677148954695594e-01,2.850677148954695594e-01,2.850677148954695594e-01,2.850677148954695594e-01
